# ra            dec          z          
  158.7701874   46.5614586   0.0111964  
  196.8639374   45.1538925   0.0112049  
  184.9302673   53.0594521   0.0113108  
  168.4842377   65.1776962   0.0113401  
  223.8159637   48.365696    0.0114253  
  210.1791077   -0.5057537   0.0115561  
  142.2739105   66.4580917   0.011568   
  129.3862762   28.7051945   0.0115738  
  231.3185272   53.4070892   0.0115963  
  160.546051    23.7467327   0.0116064  
  149.6509399   13.2553043   0.011662   
  182.9358368   19.4906254   0.011673   
  204.8997955   43.0527802   0.0117877  
  145.1315308   47.5101242   0.0117927  
  178.8340759   51.1264267   0.0118069  
  200.6353455   54.8182449   0.0118074  
  210.1907043   2.0220368    0.01199    
  153.4514618   18.1262188   0.0119938  
  235.3495941   20.0420799   0.012011   
  127.0079956   54.4470863   0.0120537  
  141.5836334   40.024437    0.0121094  
  200.0288544   14.5432577   0.0121236  
  137.7732239   9.3495522    0.0122123  
  191.0289307   45.0050087   0.0123096  
  139.0457764   6.3294172    0.0123152  
  159.6552429   44.5230904   0.0123746  
  239.7622681   51.3048019   0.0125056  
  169.2303619   27.5724049   0.012674   
  146.6292725   15.8863106   0.0126829  
  197.8598022   -0.2497331   0.012773   
  134.7102814   6.2929912    0.0127828  
  236.3099365   0.7722053    0.0128192  
  187.5356598   37.5558472   0.0128477  
  243.1112671   38.2429085   0.0128828  
  125.6873169   24.2969112   0.0129204  
  147.8657074   7.2637043    0.013069   
  147.4329376   21.3411541   0.0131957  
  340.8786011   -8.6455374   0.0132608  
  134.4379425   25.396431    0.0132938  
  197.881897    8.7432041    0.0133279  
  182.9483948   12.1437168   0.0133758  
  232.5034943   12.9892969   0.0135099  
  144.4916534   25.4947891   0.0135203  
  142.4710388   65.2606277   0.013546   
  235.1543121   26.348732    0.0135965  
  125.5150299   8.7526054    0.0138245  
  141.5719299   3.1348767    0.013861   
  179.6147003   10.0214996   0.0138906  
  137.1980591   29.8647766   0.0139393  
  180.8952637   60.5314674   0.0139657  
  218.6905975   0.8886715    0.0140004  
  131.0344543   34.717247    0.0141055  
  239.6820831   26.8181515   0.0141549  
  127.4997864   52.6972656   0.0141564  
  187.5735626   47.2100334   0.0142003  
  176.2730103   8.4695234    0.014229   
  214.5702972   31.6538353   0.0142454  
  237.1358185   8.5879107    0.0142653  
  183.2770844   17.098896    0.0143453  
  168.1694794   25.4979591   0.0143584  
  234.1157227   22.5004921   0.0143634  
  133.0192566   47.035923    0.0144255  
  247.9052582   22.3190823   0.0144322  
  234.1509705   17.3383121   0.0144864  
  159.6798248   56.5540848   0.0144896  
  243.5879822   32.1765747   0.0145073  
  117.4054108   32.7386246   0.0146295  
  158.9137726   28.5658016   0.0147151  
  152.5709534   43.0704651   0.014728   
  177.8537903   47.9138908   0.0147335  
  343.1636047   -9.2677841   0.0148584  
  156.0223083   57.9910355   0.0149958  
  205.3885193   52.3033981   0.0150692  
  232.6298981   14.710515    0.0152637  
  238.2201843   40.6467094   0.0152647  
  118.4348984   13.3374348   0.0152692  
  245.134613    34.5660896   0.0152731  
  246.7623749   16.3822289   0.0153622  
  125.94944     17.9907036   0.0154334  
  117.4634781   18.828989    0.0155034  
  206.8101959   55.569561    0.0155466  
  244.117157    14.8873358   0.0155676  
  191.0358429   48.6444206   0.0156018  
  224.2966614   19.698225    0.0156417  
  263.8274231   56.6973343   0.0156441  
  228.5631256   20.4786549   0.0156446  
  213.9098663   36.3750763   0.0157863  
  30.20257      -9.002574    0.0158319  
  192.7870941   28.7880554   0.0158495  
  149.1787872   46.4611778   0.0159783  
  222.858078    18.9093285   0.0160112  
  151.9757233   29.4607239   0.0160258  
  351.811676    -9.3869982   0.016027   
  134.7825165   53.6324539   0.0161007  
  150.8700714   46.6283264   0.0161008  
  148.0158234   19.6511116   0.0161201  
