# ra            dec           z          
  117.5051651   19.5798969    0.045759   
  225.5067596   9.4078732     0.0458568  
  215.1904144   58.6990051    0.0461097  
  246.7829285   9.0959291     0.0461541  
  211.2034607   4.9810562     0.0464889  
  190.3091583   12.9889574    0.0465255  
  165.8740692   16.3701077    0.0466204  
  201.1429138   43.7520752    0.0467123  
  193.6280518   -3.3225076    0.0469743  
  244.5777893   34.1111565    0.047254   
  235.6522675   21.1292381    0.0473148  
  227.5071259   10.8054581    0.0473333  
  197.6510315   39.7839775    0.0474178  
  218.9558411   62.4211693    0.0475306  
  150.5180054   50.9104462    0.0476499  
  140.145462    30.1767349    0.04775    
  176.1377106   61.5336227    0.047992   
  16.5997257    -0.1449027    0.0479944  
  217.670929    16.0535412    0.0483381  
  140.1546478   26.5383663    0.0485726  
  161.6018677   18.5310154    0.0486672  
  187.7410583   10.8034735    0.0488277  
  244.7938995   14.0742102    0.0489924  
  184.5892029   59.7315598    0.0492896  
  230.579361    21.0734749    0.0496024  
  184.5414124   62.8020439    0.0496848  
  130.4145203   3.4559503     0.049882   
  143.2774658   33.1382294    0.0500879  
  145.8141632   35.1605225    0.0501746  
  145.4562836   25.0635872    0.0505876  
  316.5585327   0.0977852     0.0505929  
  213.488678    31.5653572    0.0508233  
  141.7483826   20.8835106    0.0509913  
  237.8313141   6.7046175     0.0514347  
  208.9487457   14.4224977    0.0516954  
  136.0661163   46.5580482    0.0517153  
  149.1465759   10.0946522    0.0517963  
  166.7111511   14.4565115    0.0518638  
  134.1436615   16.8094902    0.0519944  
  181.5690155   61.1540642    0.0520291  
  147.3583832   26.6381321    0.0521594  
  194.694809    32.1921082    0.052219   
  157.9731598   62.4011726    0.0522212  
  142.2527924   12.5036907    0.0522323  
  125.687027    6.1887665     0.0528037  
  132.0299683   46.5798759    0.0528461  
  247.3612823   29.5411205    0.0530449  
  191.3255157   42.4104309    0.0533241  
  213.1517334   -1.0364107    0.0538303  
  25.8822536    13.5137577    0.0538756  
  176.440567    47.1747131    0.0539763  
  202.4455566   6.4652071     0.0539878  
  194.7275391   9.3009205     0.0540042  
  135.1980743   29.9902821    0.0540693  
  169.7485199   61.594017     0.0543445  
  131.4277649   19.7257061    0.0546534  
  157.0665894   38.9347343    0.0549213  
  163.712204    18.9611206    0.0552166  
  162.2811584   4.9406929     0.0552548  
  250.8060455   25.3395462    0.0552586  
  181.1708221   59.4009933    0.0552801  
  225.2289581   8.5822439     0.0555539  
  205.259552    13.1630039    0.0556448  
  158.7076263   17.4512196    0.0557156  
  220.7382507   17.6366978    0.0560188  
  138.3565979   17.1241112    0.0560217  
  148.9782257   27.4567356    0.0560283  
  225.4339294   27.281065     0.0562434  
  11.9932327    13.7803402    0.0563245  
  188.094986    16.3097057    0.0566879  
  200.9196167   1.3618224     0.0567743  
  161.6620789   11.7652235    0.0574811  
  200.9095612   31.1266327    0.0584694  
  143.9894867   54.993454     0.0585204  
  248.1408539   26.380724     0.0586143  
  178.7575531   49.8996201    0.0591243  
  166.8654785   53.9880371    0.0604697  
  201.9957886   45.7594376    0.0605284  
  323.2228699   -7.1967368    0.060536   
  31.6827221    13.3716307    0.0605542  
  193.2171631   46.7581787    0.0606159  
  229.6298065   32.392849     0.0612589  
  179.0665436   52.5134811    0.0612609  
  155.1296844   3.22769       0.0616329  
