# ra            dec          z          
  133.9716187   4.375021     0.0339429  
  172.1009674   33.6274834   0.0339977  
  354.8656006   -9.5059881   0.0340437  
  146.7497406   24.7022743   0.0340834  
  9.1218557     -0.728548    0.0340893  
  201.5805817   26.2444611   0.0340944  
  235.9369659   29.4295158   0.0341119  
  205.7442322   29.3865643   0.0341122  
  223.6216583   2.2877219    0.0341316  
  178.4313202   57.6644058   0.0341432  
  219.7429504   9.395854     0.0342142  
  216.843689    3.5764964    0.0342642  
  139.883255    19.6112747   0.0342781  
  198.5666504   12.0634785   0.0342798  
  241.3829346   28.4161491   0.0342831  
  148.5892639   4.0919714    0.0343046  
  240.7651367   21.6974659   0.0343187  
  210.6677551   65.0102615   0.034534   
  133.2291107   3.1523337    0.0345422  
  153.6279602   35.8421135   0.0345521  
  197.1211243   48.1627312   0.0345533  
  120.7711716   37.4280739   0.034555   
  155.3787537   35.0187912   0.0345577  
  114.0135574   29.0258293   0.034558   
  177.0193176   60.8974571   0.0345695  
  245.7971191   16.9326038   0.0345969  
  177.6765137   10.5213556   0.0346334  
  241.8233795   41.4036179   0.0346392  
  225.4417114   15.1131668   0.0346544  
  245.3466492   32.3490257   0.034659   
  159.5214844   1.7451075    0.0346609  
  182.6531677   34.9565735   0.0346932  
  124.1174164   11.853652    0.0347975  
  167.1284943   31.1738243   0.0348015  
  199.7555542   27.8917007   0.0348371  
  238.071167    4.8503599    0.0348639  
  178.3701935   59.6991653   0.0349032  
  163.9585571   31.3922806   0.0349335  
  124.9136047   28.7790966   0.035039   
  209.6701202   34.5245399   0.0350402  
  250.9523621   24.2423515   0.0350669  
  234.4076996   9.3148632    0.0351072  
  198.5305634   30.0150566   0.0351495  
  205.6977997   55.5214424   0.0351679  
  192.5862274   37.9489403   0.0351681  
  197.5114594   30.043375    0.0351845  
  133.2898254   2.2464125    0.0352377  
  212.1269073   36.495369    0.0352617  
  207.3448944   29.5931606   0.0353022  
  237.0253296   14.371603    0.0353237  
  257.4017334   34.1107521   0.035398   
  132.0966339   4.3876057    0.0354881  
  163.025589    3.3722901    0.0355205  
  232.0751495   15.385046    0.0355459  
  179.2701263   52.8177567   0.0355996  
  115.3020096   42.7494011   0.035771   
  199.2062378   47.4020348   0.0357746  
  324.0437927   10.632225    0.0357777  
  167.1335907   47.3363113   0.0357975  
  200.2717896   42.4488029   0.0358481  
  178.4340057   37.1676178   0.0358498  
  256.8314209   31.4386978   0.0359449  
  135.8572083   50.9172096   0.0359451  
  205.0520782   61.3842964   0.0359896  
  118.5049515   29.420702    0.0360417  
  341.9045105   0.3850017    0.0360864  
  246.1284485   28.2964821   0.0361078  
  205.6203156   41.2284851   0.0361285  
  194.58815     4.8856525    0.0361743  
  186.0243683   27.5778942   0.0361748  
  195.7370453   12.8805857   0.036176   
  255.414032    22.6875706   0.0362633  
  180.408493    6.2125654    0.0362794  
  46.6269417    -6.8618374   0.0363137  
  225.675766    6.1728415    0.036326   
  225.096405    3.8611715    0.0363742  
  116.3295135   38.5798035   0.0363901  
  166.3668976   2.5621252    0.0364025  
  156.5354919   31.4608727   0.0364371  
  309.7006531   -5.8965945   0.0364478  
  174.782135    19.3632889   0.0364767  
  204.5363312   19.3485718   0.0364913  
  130.7593079   19.5954494   0.0365093  
  164.436676    15.307456    0.0365479  
  206.1878052   27.1373863   0.0365479  
  173.8721008   17.2191925   0.0365795  
  243.6989441   19.8838634   0.0365944  
  225.7308655   -2.1863408   0.0366066  
  217.7823639   23.0366478   0.0367076  
  195.0742188   27.387516    0.0367841  
  223.0891418   50.359333    0.0367925  
  168.7368317   33.8256493   0.0369036  
  232.8280487   36.0800476   0.0369332  
  204.6663208   55.4502411   0.0369951  
  173.3896332   14.7454472   0.0370182  
  241.0727081   42.0281601   0.0370234  
  194.2908936   62.3251457   0.0370249  
  243.5053406   20.4403305   0.0370394  
  170.2313995   7.197525     0.0370585  
  245.7499847   21.9366512   0.0370705  
  195.7359161   35.6682816   0.0370806  
  133.7230988   53.6905403   0.0370965  
  4.6778574     15.1951752   0.0371568  
  238.7954712   52.1685638   0.0371798  
  233.3847351   19.4976807   0.0371943  
  200.6024933   23.451273    0.0372104  
  223.6597443   36.8579865   0.0372851  
  229.0514069   17.1679878   0.0372856  
  177.1626434   47.635704    0.0373095  
  171.7195435   64.844162    0.0373194  
  186.444397    29.9543858   0.0373253  
  249.8956909   35.9345932   0.0374167  
  59.5093765    -6.682981    0.0374657  
  9.9515915     -9.1429453   0.0374752  
  234.7037964   49.5684242   0.0376055  
  189.5656586   7.8203835    0.037672   
  234.188385    -0.8255458   0.0376914  
  155.2944183   35.6579437   0.0377064  
  184.0120544   17.9263897   0.0377711  
  128.8226471   55.8289337   0.0378049  
  164.3166656   66.7530975   0.0378207  
  214.3264008   46.6982384   0.0378874  
  213.1579895   12.0201788   0.0379269  
  253.3422852   33.0284271   0.0379965  
  208.7969666   10.0219774   0.0380045  
  153.9526215   21.7479172   0.0380589  
  199.8813934   55.2973862   0.0381175  
  7.6372342     14.943181    0.0381201  
  135.462265    16.6298962   0.0381239  
  187.0662689   42.0140419   0.038163   
  213.368988    17.7563171   0.0382676  
  222.3219604   14.9688349   0.0383105  
  200.6177521   28.1555386   0.0384042  
  125.1816864   18.3978405   0.0384063  
  168.5648346   38.3910255   0.0384095  
  234.7827606   14.0230703   0.038417   
  187.2990875   68.0054703   0.0384528  
  203.2960358   30.4494724   0.0384806  
  257.9920959   33.9570122   0.038484   
  157.6937103   36.9546356   0.0385281  
  192.1761017   13.2748432   0.0385554  
  192.7481079   35.0661469   0.038581   
  130.8477478   22.7902527   0.038581   
  216.4087067   1.6004317    0.0385837  
  170.7347107   34.8669395   0.0386838  
  228.2966614   38.488781    0.0387604  
  126.9737701   55.1587105   0.0388248  
  124.4984436   58.7792091   0.0389042  
  233.7351837   4.9588346    0.0389603  
  141.4029694   15.458744    0.0390084  
  246.1158447   25.1839828   0.0390341  
  155.5172729   20.5822544   0.0391247  
